Vacancy,Employer,Description,Requirements,Link
СV Engineer,DSSL,"Проектировать, разрабатывать, тестировать, администрировать и обеспечивать стабильную работу высоконагруженного сервера для удаленного монитроинга качества работы средств цифрового вещания. ","Есть способность довести сложную задачу до результата. Чистый и аккуратный код на python. Есть знания linux, git flow. ",https://spb.hh.ru/vacancy/67371228?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Web-разработчик junior,АО НИИ телевидения,"Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию разработчикам и...","Вы имеете высшее техническое образование (не обязательно в сфере it) . Владеете Python 3, и SQL (на уровне написание запросов). ",https://spb.hh.ru/vacancy/69988918?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Ночной специалист службы поддержки с техническими знаниями (Браузер),Яндекс,Разработка автоматизированных тестов. Запуск и анализ результатов автоматизированных тестов. Настройка и поддержка окружения для запуска автоматизированных тестов. Взаимодействие с проектной...,"Умеете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (техническое будет плюсом). Помогали людям онлайн. ",https://spb.hh.ru/vacancy/48221816?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Cтажёр-разработчик автоматизированных тестов,ООО Точка Качества,Обработка больших массивов данных по проектам MS Excel. Выгрузка и обработка массивов данных с market place. Подготовка отчетности для внешних...,"Базовые знания любого языка программирования с поддержкой ООП (Java, C#, Python, JS наши основные языки). Базовые навыки работы со средами...",https://spb.hh.ru/vacancy/67876403?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Младший аналитик музыкального лейбла,ООО Раймс Мьюзик,"Разрабатывать инструмент для оркестрации инфраструктуры мониторинга и распределения нагрузки. Исправлять баги и дорабатывать Prometheus/Thanos для Ozon-специфичных задач, по...","Законченное высшее экономическое/математическое образование. Имеешь огромное желание работать в музыкальном лейбле, узнать, как все это работает изнутри. ",https://spb.hh.ru/vacancy/69892113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
"Старший разработчик Go мониторинг, Платформа, Телеметрия",Ozon Информационные технологии,"Можешь принимать и вовремя давать обратную связь по поводу того, что происходит в проекте. Дорабатывать и сопровождать проекты.","Вы умеете писать понятный и тестируемый код на одном или более языках: C, C++, Java, Python, Go, Ruby, PHP (мы...",https://spb.hh.ru/vacancy/68839477?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Junoir backend developer (Python),Emphasoft,Разработку требований к проектированию объектов БД. Проектировку модели данных по различным направлениям деятельности компании. Разработку слоёв данных DWH. ,"Знаешь Python и имеешь опыт написания pet-проектов. Понимаешь СУБД и можешь создавать запросы (SQL, MySQL - желательно). Знаешь алгоритмы и...",https://spb.hh.ru/vacancy/69853610?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Менеджер по администрированию корпоративного хранилища данных,"Благо, Компания","Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию разработчикам и...","Вы владеете теорией моделирования баз данных, хранилищ. У вас есть знание SQL, опыт написания запросов, процедур, представлений. У вас есть...",https://spb.hh.ru/vacancy/69851346?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист службы поддержки с техническими знаниями (Яндекс ID),Яндекс,"Отвечать на сообщения пользователей по почте и в чатах. Консультировать их о вопросах, связанных с Яндексом. Передавать информацию разработчикам и...","Умеете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (техническое будет плюсом). Помогали людям онлайн. ",https://spb.hh.ru/vacancy/48037475?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист службы поддержки с техническими знаниями (Умные устройства),Яндекс,"Внедрение, настройка и поддержка WAF, реагирование на атаки. Проведение анализа безопасности разрабатываемого программного обеспечения и его архитектуры, выявление уязвимостей. ","Умеете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование (техническое будет плюсом). Помогали людям онлайн. ",https://spb.hh.ru/vacancy/48036813?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Инженер по защите web приложений,РНКБ Банк (ПАО),"Общаться с пользователями — через чат и почту. Подсказывать клиентам, как оперативно наладить работу сервисов. Давать подробный фидбек менеджерам и разработчикам...","Знание SQL, базовые навыки работы в различных СУБД. Базовые навыки программирования на каком либо языке(python, php, go и т...",https://spb.hh.ru/vacancy/69766777?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист службы поддержки с техническими знаниями (Контест),Яндекс,"Стек протоколов SS7, протоколы Diameter, CAMEL. Базы данных (MySQL, Oracle). Python (на уровне написания скриптов). Инструменты виртуализации, удалённого доступа...",Грамотно говорит и пишет на русском. Может обрабатывать большой объём информации — предстоит много учиться. Умеет находить подход к людям с...,https://spb.hh.ru/vacancy/48224440?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Инженер внедрения и сопровождения (Мобильные сети),"Протей, НТЦ","During the internship (3-4 months), you will have the opportunity to perform real business tasks and gain new knowledge...","Хорошие знания сетевых технологий (стек TCP/IP, маршрутизация и коммутация), опыт настройки сетевого оборудования. Навыки работы с Linux, знание основных...",https://spb.hh.ru/vacancy/66838038?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Platform Reliability Engineer,Advantage Solutions,"Отвечать на сообщения пользователей по почте и в чатах. Консультировать по вопросам, связанным с сервисами Яндекса. Передавать информацию разработчикам и...","Experience with command line tools and scripting languages (bash/python). A rigorous, detail-oriented approach to operations. English for reading...",https://spb.hh.ru/vacancy/69720377?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
Специалист технической поддержки,Яндекс,Ручное функциональное и регрессионное тестирование. Интеграционное тестирование. Автоматизация рутинных задач. Составление и поддержка тестовой документации.,"Не устаёте от однообразных задач. Можете читать языки JavaScript, HTML и Python. Имеете высшее или неоконченное высшее образование, особенно техническое.",https://spb.hh.ru/vacancy/69711858?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20django%20%7C%20python
